菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
荷叶鸡肉饭,10,133.0,香大米:3.0g | 鸡腿:50.0g | 韭菜:2.0g | 粉丝:2.0g | 洋葱[葱头](鲜):25.0g | 老抽:2.0g | 花生油:2.0g | 鸡精:2.0g | 黄豆酱油:15.0g | 啤酒(均值):30.0g,644.91,9.98,8.68,9.23,0.01,2.48,19.29,1408.25
冰镇酸辣蜇头,11,110.0,海蜇头:10.0g | 洋葱[葱头](鲜):10.0g | 辣椒(红，尖，干):10.0g | 辣椒(红，尖，干):10.0g | 姜[黄姜](鲜):10.0g | 大蒜[蒜头](鲜):10.0g | 蛇瓜[蛇豆，大豆角]:10.0g | 花椒:10.0g | 陈醋:10.0g | 酱油(均值):10.0g | 烧饼(加糖):10.0g,706.8,7.45,3.68,32.52,0.0,2.3,130.6,721.97
素烧香菇,4,40.0,香菇片:10.0g | 彩椒:10.0g | 大蒜[蒜头](鲜):10.0g | 生抽:10.0g,222.9,2.05,1.29,9.59,2.41,11.3,7.6,876.09
猪肉冬瓜馅饺子,3,30.0,猪肉(肥瘦)(均值):10.0g | 冬瓜:10.0g | 虾皮:10.0g,233.2,4.43,3.94,0.75,0.0,1.8,101.6,511.89
韩国泡菜炒年糕,5,50.0,酱鸭:10.0g | 韭菜:10.0g | 年糕:10.0g | 素鸡:10.0g | 芝麻籽(白):10.0g,492.2,5.95,7.15,8.13,0.0,2.4,102.6,145.18
北极贝鱼籽蒸蛋羹,7,70.0,蟹足棒:10.0g | 蛋（鸡蛋，均值):10.0g | 细香葱[香葱，四季葱]:10.0g | 姜[黄姜](鲜):10.0g | 鲑鱼籽酱[大麻哈鱼籽酱]:10.0g | 盐水鸭(熟):10.0g | 胡椒粉:10.0g,537.1,6.32,5.54,13.48,0.0,1.8,31.6,583.18
孜然黄金甲土豆,4,8.0,刀豆(鲜):2.0g | 盐水鸭(熟):2.0g | 藕粉:2.0g | 辣椒(红，尖，干):2.0g,85.34,0.7,0.77,3.11,0.0,0.3,1.58,31.62
葱香土豆烙,3,5.0,马铃薯[土豆，洋芋]:1.0g | 细香葱[香葱，四季葱]:2.0g | 胡椒粉:2.0g,37.42,0.26,0.05,1.85,0.0,0.55,1.2,0.12
菠菜拌粉皮,17,328.0,菠菜[赤根菜](鲜):1.0g | 蛋（鸡蛋，均值):150.0g | 黄豆粉:1.0g | 香菜[芫荽](鲜):3.0g | 胡萝卜(红)[金笋，丁香萝卜]:1.0g | 细香葱[香葱，四季葱]:5.0g | 藕粉:2.0g | 盐水鸭(熟):10.0g | 生抽:10.0g | 芝麻籽(白):10.0g | 油（辣椒油):15.0g | 花椒:15.0g | 油（胡麻油):15.0g | 香菇[香蕈，冬菇](鲜):15.0g | 色拉油:30.0g | 油面筋:15.0g | 陈醋:30.0g,4209.62,32.79,85.17,32.73,0.0,2.74,301.39,1262.13
白萝卜烧牛腩,2,20.0,牛蒡叶(鲜):10.0g | 白萝卜[莱菔](鲜):10.0g,27.0,0.56,0.09,1.01,0.0,4.6,27.8,6.18
红烧海螺,9,73.0,精盐:10.0g | 胡椒粉:10.0g | 奶糖:10.0g | 藕粉:10.0g | 生抽:10.0g | 老抽:2.0g | 白醋:10.0g | 姜(干):10.0g | 剁辣椒:1.0g,636.83,2.8,1.53,32.42,0.06,0.0,19.23,4779.61
白酌风螺,1,10.0,风干肠:10.0g,117.3,1.24,2.33,0.59,0.0,0.0,1.8,61.8
紫菜鱼面,4,34.0,韭菜:10.0g | 豆腐(北):4.0g | 奶片:10.0g | 精盐:10.0g,226.9,2.06,2.25,6.47,0.0,2.9,38.82,3950.17
鱼翅捞饭,2,85.0,鲍鱼[杂色鲍]:75.0g | 玉兰片:10.0g,294.4,9.71,0.64,6.81,0.0,0.1,203.7,1508.97
