菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
芸豆炖肉,12,547.0,马铃薯[土豆，洋芋]:150.0g | 芸豆(干，白):120.0g | 猪肉(肥瘦)(均值):100.0g | 酱油(均值):2.0g | 玉兰片:30.0g | 盐水鸭(熟):2.0g | 蛇瓜[蛇豆，大豆角]:100.0g | 大葱:10.0g | 大蒜[蒜头](鲜):10.0g | 豆瓣酱:10.0g | 奶糖:3.0g | 芝麻油[香油]:10.0g,4483.39,49.06,50.62,114.25,0.0,47.2,237.62,822.94
清炖土鸡汤,5,165.0,鸡(土鸡，家养):50.0g | 玉兰片:30.0g | 大麦[元麦]:50.0g | 花椒:5.0g | 精盐:30.0g,1098.95,16.62,3.52,45.55,0.0,0.3,88.65,11833.29
剥皮鱼,5,50.0,绿鳍马面豚[面包鱼，橡皮鱼]:10.0g | 辣椒(红，尖，干):10.0g | 胡椒粉:10.0g | 盐水鸭(熟):10.0g | 花生油:10.0g,809.3,5.93,14.08,13.36,0.0,0.0,9.0,165.04
橙香蛋糕卷,7,445.0,鸡蛋(白皮):200.0g | 藕粉:80.0g | 糖（白砂糖）:40.0g | 橙:60.0g | 油饼:40.0g | 小麦粉(标准粉):15.0g | 柠檬:10.0g,4127.8,30.99,27.63,152.64,0.0,22.0,155.55,428.5
干煸肥肠,11,520.0,猪肉(肥):300.0g | 豆汁(生):40.0g | 青豆[青大豆](干):80.0g | 辣椒(红，尖，干):8.0g | 豆瓣酱:80.0g | 花椒:2.0g | 大蒜[蒜头](鲜):2.0g | 大葱:2.0g | 生抽:2.0g | 崇明老白酒:2.0g | 糖（绵白糖）:2.0g,12102.78,47.6,285.23,51.62,0.0,0.48,230.16,5001.78
拌豆皮,10,36.0,虾皮:10.0g | 油饼:2.0g | 盐水鸭(熟):2.0g | 花椒:2.0g | 藕粉:2.0g | 芝麻籽(白):2.0g | 芝麻油[香油]:2.0g | 花生(鲜)[落花生，长生果]:2.0g | 油（辣椒油):10.0g | 泥蚶[血蚶，珠蚶]:2.0g,702.48,4.51,14.69,5.36,0.0,0.28,127.08,557.37
宝宝磨牙饼干,4,488.0,藕粉:300.0g | 酵母(鲜):3.0g | 火龙果[仙蜜果、红龙果]:170.0g | 全脂加糖奶粉:15.0g,5471.43,5.92,3.85,309.44,3.4,5.1,110.42,105.02
莴笋炒木耳,5,94.0,莴笋[莴苣](鲜):1.0g | 木耳(干)[黑木耳，云耳]:40.0g | 辣椒(红，尖，干):50.0g | 细香葱[香葱，四季葱]:1.0g | 盐水鸭(熟):2.0g,1081.11,12.71,7.13,52.75,0.0,0.18,105.77,52.92
野芹菜,4,40.0,芹菜(白茎)[旱芹，药芹]:10.0g | 茶树菇(干)[柱状田头菇、油茶菇]:10.0g | 胡萝卜(红)[金笋，丁香萝卜]:10.0g | 姜[黄姜](鲜):10.0g,173.4,2.62,0.35,7.91,1.54,2.9,11.1,16.61
米粉肉,4,8.0,猪肉(奶面)[硬五花]:2.0g | 籼米粉[排米粉]:2.0g | 生抽:2.0g | 盐水鸭(熟):2.0g,85.88,0.85,1.14,1.73,0.0,0.0,0.76,160.21
面疙瘩汤,10,122.0,酱牛肉:10.0g | 马铃薯[土豆，洋芋]:25.0g | 西葫芦:25.0g | 洋葱圈:10.0g | 小麦粉(标准粉):2.0g | 辣椒(红，尖，干):10.0g | 鸡蛋(白皮):10.0g | 杏干:10.0g | 籼米:10.0g | 韭菜:10.0g,914.56,8.52,5.74,35.89,0.77,10.65,47.57,155.7
葡萄罐头,4,514.0,葡萄(均值):500.0g | 糖（冰糖）:2.0g | 蜂蜜:10.0g | 水面筋:2.0g,1117.04,3.01,1.19,61.29,0.0,125.3,27.38,6.88
鲷鱼烧,6,154.0,藕粉:1.0g | 牛奶糖:10.0g | 蛋（鸡蛋，均值):100.0g | 藕粉:3.0g | 油饼:30.0g | 豆沙:10.0g,1455.96,16.45,16.68,33.33,0.0,0.0,80.82,306.3
家常土豆饼,6,83.0,马铃薯[土豆，洋芋]:50.0g | 玉米淀粉:25.0g | 盐水鸭(熟):2.0g | 辣椒(红，尖，干):2.0g | 花椒:2.0g | 油饼:2.0g,641.3,2.22,1.52,33.14,0.0,13.5,22.64,46.55
糖渍草莓,4,82.0,草莓[洋莓，凤阳草莓]:2.0g | 蜂蜜:30.0g | 烧饼(加糖):40.0g | 柠檬:10.0g,931.4,3.45,1.53,48.52,0.0,4.04,32.06,25.28
奥尔良鸡肉,12,697.0,藕粉:2.0g | 藕粉:130.0g | 藕粉:40.0g | 牛至:100.0g | 酵母(鲜):3.0g | 烧饼(加糖):5.0g | 盐水鸭(熟):3.0g | 油饼:10.0g | 鸡肉松:150.0g | 玉米(鲜):2.0g | 酱排骨:2.0g | 马肉:250.0g,7404.22,63.67,39.84,285.33,0.0,43.32,366.18,2980.02
西芹腐竹,2,20.0,腐竹:10.0g | 香菜[芫荽](鲜):10.0g,207.1,4.64,2.21,2.85,0.0,4.8,17.8,7.5
青椒炒肉片,11,102.0,青豆[青大豆](干):10.0g | 猪肉(里脊):10.0g | 盐水鸭(熟):10.0g | 烧饼(加糖):10.0g | 黄酒:10.0g | 玉米淀粉:2.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g | 大蒜[蒜头](鲜):10.0g | 生抽:10.0g | 老抽:10.0g,685.06,10.13,5.36,19.54,0.0,2.8,44.96,1500.59
番茄焖饭,9,166.5,番茄[西红柿]:50.0g | 马铃薯[土豆，洋芋]:25.0g | 胡萝卜(红)[金笋，丁香萝卜]:25.0g | 腊肠:1.0g | 洋葱[葱头](鲜):50.0g | 香菇[香蕈，冬菇](鲜):2.0g | 芹菜茎:2.0g | 胡椒粉:10.0g | 籼米(标准)[机米]:1.5g,455.03,3.12,1.02,22.21,0.0,23.68,29.26,41.15
黄鱼烧豆腐,14,212.0,"豆腐花[豆腐粉]:1.0g | 黄鱼(小黄花鱼):2.0g | 黄豆酱油:15.0g | 葱(小葱,鲜):1.0g | 玉兰片:30.0g | 油炸豆瓣:3.0g | 玉米淀粉:15.0g | 料酒:30.0g | 老抽:30.0g | 生抽:45.0g | 精盐:10.0g | 奶糖:10.0g | 油饼:10.0g | 胡椒粉:10.0g",1103.55,9.57,3.85,49.02,0.0,0.51,56.47,9907.76
香辣烤鱼,9,90.0,鳊鱼[鲂鱼，武昌鱼]:10.0g | 辣椒(红，尖，干):10.0g | 花椒:10.0g | 大蒜[蒜头](鲜):10.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g | 料酒:10.0g | 生抽:10.0g | 老抽:10.0g,461.7,6.05,2.87,18.86,0.0,2.8,89.2,1369.69
干豇豆炒腊肉,6,60.0,豇豆:10.0g | 腊肉(培根):10.0g | 蒜苗:10.0g | 辣椒(红，尖，干):10.0g | 花椒:10.0g | 大蒜[蒜头](鲜):10.0g,414.4,5.35,3.08,16.33,0.0,6.1,74.8,12.95
奶香馒头,4,222.0,藕粉:200.0g | 全脂加糖奶粉:10.0g | 酵母(鲜):2.0g | 糖（白砂糖）:10.0g,3552.22,2.7,2.34,201.21,0.0,0.0,67.68,66.99
手撕牛肉,16,160.0,牛肉(肥瘦)(均值):10.0g | 奶片:10.0g | 奶片:10.0g | 酱油(均值):10.0g | 盐水鸭(熟):10.0g | 细香葱[香葱，四季葱]:10.0g | 玉兰片:10.0g | 蛇瓜[蛇豆，大豆角]:10.0g | 虾皮:10.0g | 花椒:10.0g | 老抽:10.0g | 糖（冰糖）:10.0g | 料酒:10.0g | 草菇[大黑头细花草]:10.0g | 油面筋:10.0g | 辣椒(红，尖，干):10.0g,1418.2,16.55,12.03,45.27,0.0,2.9,267.6,2015.69
干蒸,11,81.0,萝卜干:2.0g | 生抽:2.0g | 油面筋:2.0g | 胡椒粉:2.0g | 烧饼(加糖):2.0g | 料酒:2.0g | 大葱:10.0g | 玉兰片:30.0g | 红豆沙:2.0g | 香菜[芫荽](鲜):2.0g | 鲈鱼[鲈花]:25.0g,334.58,6.78,1.6,11.39,0.0,3.3,55.7,257.66
姜汤,4,113.0,雪梨:50.0g | 奶片:60.0g | 枸杞菜[枸杞，地骨](鲜):1.0g | 黄米:2.0g,1388.44,8.68,12.21,47.26,0.0,4.08,167.76,108.88
客家菜,4,554.0,花生(鲜)[落花生，长生果]:50.0g | 鸭胸脯肉:500.0g | 盐水鸭(熟):2.0g | 鸡精:2.0g,2585.56,81.55,20.78,27.21,0.01,7.0,34.36,711.29
黑椒鸡翅,5,371.0,鸡翅:350.0g | 盐水鸭(熟):6.0g | 胡椒粉:3.0g | 柠檬:10.0g | 油饼:2.0g,3011.57,62.45,43.51,20.04,0.0,2.2,39.68,282.96
豆芽炒饼丝,7,85.0,黄豆芽:10.0g | 火腿:25.0g | 柿:10.0g | 盐水鸭(熟):10.0g | 香肠:10.0g | 鸡精:10.0g | 空锅饼:10.0g,935.05,10.49,14.0,14.27,0.07,3.8,7.15,2569.91
豆角炒肉,4,40.0,猪肉(肥瘦)(均值):10.0g | 剁辣椒:10.0g | 豆角:10.0g | 三明治(夹鸡肉片，无调料酱):10.0g,313.8,3.04,5.39,4.11,0.59,2.29,7.7,303.2
煮面,5,51.0,"挂面(均值):1.0g | 猪肉(肥):30.0g | 酱油(均值):15.0g | 盐水鸭(熟):2.0g | 葱(小葱,鲜):3.0g",1080.12,2.04,27.13,2.47,0.0,0.63,13.33,902.71
炒月饼,11,69.0,油饼:3.0g | 生菜(牛俐)[油麦菜]:2.0g | 沙拉酱:2.0g | 油饼:10.0g | 胡萝卜(红)[金笋，丁香萝卜]:1.0g | 甘蓝[圆白菜，卷心菜]:25.0g | 月饼(五仁):10.0g | 豆沙:10.0g | 料酒:2.0g | 虾皮:2.0g | 枸杞菜[枸杞，地骨](鲜):2.0g,606.52,3.58,6.47,18.62,0.0,11.69,50.55,209.56
凉拌海蜇头,6,60.0,海蜇头:10.0g | 苤蓝[玉蔓菁，球茎甘蓝]:10.0g | 黄瓜[胡瓜](鲜):10.0g | 醋栗[灯笼果]:10.0g | 生抽:10.0g | 芝麻油[香油]:10.0g,448.6,1.38,10.11,3.2,0.0,7.8,21.9,688.92
煎鳕鱼,3,67.0,蛋（鸡蛋，均值):50.0g | 玉米淀粉:2.0g | 小麦粉(标准粉):15.0g,550.56,8.35,4.63,14.14,0.0,0.0,33.01,66.34
麻辣牛肉丝,0,0.0,无有效匹配,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
菠菜厚蛋烧,8,235.0,蛋（鸡蛋，均值):150.0g | 乌菜[乌塌菜，塌棵菜]:1.0g | 牛奶(草莓味，卡夫牌):60.0g | 烧饼(加糖):2.0g | 盐水鸭(熟):1.0g | 胡椒粉:1.0g | 油饼:5.0g | 油饼:15.0g,1489.17,23.6,19.91,20.95,0.0,0.45,143.0,346.76
咸肉粽,13,2050.0,咸肉:500.0g | 五香粉:30.0g | 香肠:45.0g | 盐水鸭(熟):15.0g | 鸡精:15.0g | 糖（白砂糖）:30.0g | 酒枣:30.0g | 老抽:30.0g | 生抽:45.0g | 花卷:10.0g | 糯米[江米](均值):1000.0g | 绿豆(干):200.0g | 红豆沙:100.0g,29448.35,224.09,217.04,1048.81,0.1,0.0,600.0,10092.38
五仁馅,19,3757.0,月饼(五仁):10.0g | 藕粉:500.0g | 葵花籽油:160.0g | 芝麻油[香油]:10.0g | 糖（白砂糖）:60.0g | 蜂蜜:30.0g | 荞麦:125.0g | 花生酱:100.0g | 沙果:2.0g | 花生仁(油炸):120.0g | 南瓜子仁:200.0g | 黑芝麻汤圆:50.0g | 杏干:50.0g | 葡萄干:100.0g | 冬瓜:80.0g | 青稞:30.0g | 油饼:10.0g | 虾皮:2100.0g | 芝麻酱:20.0g,45308.3,771.62,447.72,945.15,1.0,20.36,21503.25,109049.34
炸藕盒,7,210.0,藕[莲藕]:2.0g | 蛋（松花蛋，鸡蛋):1.0g | 籼米粉[排米粉]:50.0g | 啤酒(4.3％，青岛牌):120.0g | 酱鸭:25.0g | 胡椒粉:10.0g | 鸡精:2.0g,1356.97,10.26,5.04,58.85,0.01,0.88,16.3,632.62
枣花馒头,4,756.0,藕粉:500.0g | 水面筋:250.0g | 酵母(鲜):4.0g | 枣（金丝小枣）:2.0g,9474.08,59.88,0.27,498.24,0.0,0.0,230.82,92.19
鸡蛋小饼干,8,235.0,黑芝麻汤圆:2.0g | 蛋（鸡蛋，均值):100.0g | 藕粉:45.0g | 烧饼(加糖):2.0g | 油饼:45.0g | 全脂加糖奶粉:30.0g | 柠檬:10.0g | 精盐:1.0g,2753.1,24.05,26.56,80.71,0.04,2.2,241.52,924.16
奥利奥雪糕,2,20.0,奶片:10.0g | 夹心糖:10.0g,405.4,1.59,4.09,13.35,0.0,0.5,39.6,42.63
彩虹发糕,7,66.0,木薯:10.0g | 胡萝卜(红)[金笋，丁香萝卜]:10.0g | 小米面:10.0g | 小麦粉(富强粉，特一粉):10.0g | 黑芝麻糊粉:10.0g | 藕粉:6.0g | 鸡蛋白:10.0g,663.34,3.92,1.13,33.07,0.42,4.8,30.48,21.23
陈皮红豆沙,3,30.0,糜子(带皮):10.0g | 红豆沙:10.0g | 莲子(干):10.0g,393.9,3.23,0.27,19.94,0.0,0.5,21.5,4.1
大理石面包,13,1149.0,藕粉:490.0g | 盐水鸭(熟):3.0g | 糖（白砂糖）:38.0g | 炼乳(甜，罐头):20.0g | 鸡蛋白:25.0g | 牛奶(草莓味，卡夫牌):360.0g | 酵母(鲜):5.0g | 黄油:28.0g | 酥梨:10.0g | 黄油:50.0g | 糖（白砂糖）:30.0g | 全脂加糖奶粉:80.0g | 藕粉:10.0g,15184.17,34.97,108.52,622.21,0.0,1.5,809.3,658.09
炒素什锦,6,127.0,酱排骨:10.0g | 米饭(蒸)(均值):10.0g | 青豆[青大豆](干):100.0g | 胡萝卜(红)[金笋，丁香萝卜]:1.0g | 香菇[香蕈，冬菇](鲜):5.0g | 榨菜:1.0g,1876.69,37.07,18.72,39.36,0.0,0.2,203.67,127.91
虾仁意大利面,10,100.0,凉面:10.0g | 番茄[西红柿]:10.0g | 虾米[海米，虾仁]:10.0g | 洋葱[葱头](鲜):10.0g | 盐水鸭(熟):10.0g | 老抽:10.0g | 马铃薯[土豆，洋芋]:10.0g | 洋葱[葱头](鲜):10.0g | 蘑菇(鲜蘑):10.0g | 胡萝卜(红)[金笋，丁香萝卜]:10.0g,441.4,8.18,3.18,11.2,0.0,7.7,69.8,1361.97
椰汁年糕,6,1432.0,椰子:270.0g | 米粉(雀巢):500.0g | 水面筋:300.0g | 油（椰子油):2.0g | 年糕:10.0g | 糖（白砂糖）:350.0g,19096.26,112.13,47.53,916.03,0.0,191.2,3306.5,252.16
羊肉煲,8,1073.0,羊肉(肥瘦)(均值):1000.0g | 黄豆酱油:10.0g | 大蒜[蒜头](鲜):5.0g | 青蒜:10.0g | 豆角:4.0g | 奶片:40.0g | 江米酒:2.0g | 盐水鸭(熟):2.0g,9337.03,196.76,149.67,26.71,0.0,4.67,176.13,1481.08
麻虾酱,12,186.0,虾酱:10.0g | 蛋（鸡蛋，均值):50.0g | 鸡蛋白:2.0g | 小麦粉(标准粉):15.0g | 虾酱:2.0g | 虾酱:10.0g | 米饭(蒸)(均值):1.0g | 虾酱:2.0g | 虾酱:10.0g | 水面筋:80.0g | 虾酱:2.0g | 酱油(均值):2.0g,1187.19,31.39,7.45,22.8,0.0,0.0,205.9,1845.42
排骨豆角,10,1172.0,酱排骨:500.0g | 芸豆(干，白):500.0g | 生抽:30.0g | 料酒:25.0g | 老抽:30.0g | 油面筋:15.0g | 精盐:10.0g | 豆瓣酱:10.0g | 洋葱[葱头](鲜):50.0g | 大葱:2.0g,14935.18,235.36,145.17,353.54,0.0,4.34,90.83,12722.55
西葫芦鸡蛋,7,269.0,人参果:2.0g | 西葫芦:126.0g | 鸡蛋(白皮):42.0g | 火腿:40.0g | 马肉:25.0g | 西葫芦:4.0g | 酱鸭:30.0g,1361.18,23.48,21.68,9.87,0.0,8.04,46.57,804.44
葱油鸡蛋饼,6,213.0,小麦粉(标准粉):100.0g | 油饼:5.0g | 花豆(干，红):5.0g | 蛋（鸡蛋，均值):100.0g | 盐水鸭(熟):1.0g | 芝麻籽(白):2.0g,2288.11,26.38,12.56,82.31,0.0,0.0,103.7,180.07
春菜煲排骨,1,10.0,酱排骨:10.0g,152.0,2.17,2.67,0.96,0.0,0.0,1.0,82.55
肠仔包,11,500.5,藕粉:250.0g | 糖（白砂糖）:25.0g | 盐水鸭(熟):2.0g | 黄油:15.0g | 酵母(鲜):2.5g | 香甜胡萝卜泥(亨氏):180.0g | 香肠:6.0g | 沙拉酱:2.0g | 番茄酱:2.0g | 蛋清肠:15.0g | 盐水鸭(熟):1.0g,5589.74,6.55,23.29,273.74,3.96,115.2,54.26,604.02
扁肉,10,81.0,酱油(均值):10.0g | 大葱:2.0g | 姜[黄姜](鲜):2.0g | 大蒜[蒜头](鲜):2.0g | 猪肉(肥瘦)(均值):15.0g | 油饼:10.0g | 油饼:10.0g | 鸡蛋(白皮):10.0g | 鸡精:10.0g | 虾皮:10.0g,831.54,9.68,11.56,14.39,0.07,0.56,123.3,3101.58
西兰花西红柿,4,130.0,西兰花[绿菜花]:10.0g | 粳米粥:60.0g | 番茄[西红柿]:10.0g | 茶汤:50.0g,338.9,1.91,0.31,17.52,0.0,7.0,20.4,15.86
花生焖猪手,10,574.0,猪蹄:10.0g | 花生(鲜)[落花生，长生果]:500.0g | 崇明老白酒:2.0g | 酱油(均值):2.0g | 奶糖:10.0g | 精盐:10.0g | 豆角:10.0g | 虾皮:10.0g | 甘草杏:10.0g | 沙果:10.0g,6964.56,66.25,129.9,81.81,1.25,72.1,192.14,4860.98
国王饼,10,387.0,小麦粉(标准粉):100.0g | 杏:80.0g | 小米:15.0g | 精盐:10.0g | 黄米:50.0g | 蛋黄（鸡蛋黄）:50.0g | 油（菜籽油)[青油]:50.0g | 豆浆:15.0g | 果汁朗姆酒(9.9%):15.0g | 豆浆:2.0g,5214.65,26.09,67.25,137.36,0.0,3.95,113.95,3970.7
粉丝扇贝,6,641.0,"扇贝(鲜):600.0g | 粉丝:1.0g | 葱(小葱,鲜):2.0g | 油饼:30.0g | 盐水鸭(熟):2.0g | 大蒜[蒜头](鲜):6.0g",2110.3,69.61,11.01,30.97,0.0,0.84,870.09,2238.38
南瓜蛋挞,8,465.0,藕粉:90.0g | 糖（白砂糖）:20.0g | 黄油:35.0g | 白瓜:120.0g | 蛋（鸡蛋，均值):100.0g | 牛奶糖:60.0g | 奶糖:10.0g | 牛奶(草莓味，卡夫牌):30.0g,5088.4,17.43,49.58,174.06,0.0,19.2,154.05,188.97
面鱼,10,1156.0,藕粉:300.0g | 玉米面(白):70.0g | 牛奶(草莓味，卡夫牌):120.0g | 蛋（鸡蛋，均值):50.0g | 水面筋:100.0g | 盐水鸭(熟):6.0g | 酵母(鲜):4.0g | 藕粉:3.0g | 饼干(苏打夹心):3.0g | 花生油:500.0g,25779.01,40.92,512.89,362.24,0.16,0.0,291.98,271.11
凉拌芹菜叶,7,70.0,芹菜叶(鲜):10.0g | 盐水鸭(熟):10.0g | 味精:10.0g | 陈醋:10.0g | 芝麻油[香油]:10.0g | 油面筋:10.0g | 芝麻籽(白):10.0g,1104.3,11.44,19.16,12.52,0.0,2.2,93.3,1069.93
蔗糖,9,352.0,藕粉:130.0g | 盐水鸭(熟):10.0g | 水面筋:10.0g | 牛奶(草莓味，卡夫牌):10.0g | 藕粉:30.0g | 小麦粉(标准粉):100.0g | 蛋（鸡蛋，均值):50.0g | 水面筋:2.0g | 柠檬:10.0g,4562.88,23.03,8.94,227.21,0.0,2.2,99.82,246.62
蒜香翅根,2,7.0,鸡翅:5.0g | 青蒜:2.0g,43.39,0.92,0.6,0.35,0.0,0.32,0.88,2.73
糯米豆沙饼,4,611.0,甘薯(红心)[山芋，红薯]:400.0g | 糯米[江米](均值):200.0g | 豆沙:1.0g | 芝麻籽(白):10.0g,4930.94,20.89,6.78,259.08,0.0,104.0,206.42,120.45
沙参,8,122.0,辣椒(红，尖，干):15.0g | 藕粉:15.0g | 烧饼(加糖):15.0g | 青稞:15.0g | 海鲜酱(阿香婆):15.0g | 芝麻油[香油]:30.0g | 牛肉(肥瘦)(均值):15.0g | 芝麻籽(白):2.0g,2366.5,8.5,39.84,47.73,0.0,0.0,79.6,352.8
黄瓜木耳炒鸡蛋,5,256.0,黄瓜[胡瓜](鲜):1.0g | 木耳(干)[黑木耳，云耳]:100.0g | 蛋（鸡蛋，均值):150.0g | 大蒜[蒜头](鲜):3.0g | 糖（冰糖）:2.0g,2056.21,32.19,14.71,72.64,0.0,0.3,332.87,246.44
创意摆盘,4,56.0,青稞:2.0g | 茼蒿[蓬蒿菜，艾菜](鲜):2.0g | 沙果:50.0g | 油条:2.0g,211.06,0.54,0.44,11.5,0.0,1.86,6.34,17.52
荷叶蒸鸡,7,112.0,素鸡:25.0g | 枸杞菜[枸杞，地骨](鲜):7.0g | 小米:10.0g | 小麦粉(标准粉):30.0g | 料酒:15.0g | 酱油(均值):15.0g | 小米:10.0g,1005.86,10.56,4.29,39.98,0.0,4.06,111.77,1001.38
木瓜银耳汤,5,65.0,木瓜[番木瓜]:50.0g | 酒枣:10.0g | 糖（冰糖）:2.0g | 银耳(干)[白木耳]:1.0g | 枸杞菜[枸杞，地骨](鲜):2.0g,172.54,0.57,0.11,9.82,0.0,22.66,17.54,15.55
酒心巧克力,7,283.0,巧克力:200.0g | 猪肉(奶脯)[软五花，猪夹心]:10.0g | 乳品（奶油）:35.0g | 巧克力:30.0g | 玉米(白，干):2.0g | 黄油:2.0g | 威士忌:4.0g,7173.92,11.11,131.75,126.07,0.0,0.0,261.6,355.47
清炒扁豆丝,8,485.0,豆角:400.0g | 辣椒(红，尖，干):10.0g | 红豆沙:25.0g | 生抽:10.0g | 盐水鸭(熟):10.0g | 味精:10.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g,1246.25,19.08,4.75,50.95,0.0,74.1,140.15,1632.77
盐蒸橙子,2,102.0,橙:100.0g | 盐水鸭(熟):2.0g,229.92,1.13,0.72,11.16,0.0,33.0,20.2,32.35
豆芽炒,10,59.0,凉粉:1.0g | 绿豆芽:2.0g | 大葱:2.0g | 油（橄榄油):2.0g | 黄豆酱油:15.0g | 小米:1.0g | 生抽:30.0g | 五香粉:2.0g | 藕粉:2.0g | 水面筋:2.0g,219.51,2.87,2.26,5.23,0.0,0.46,15.11,2771.69
鲍鱼鸡煲,12,747.0,鲍鱼[杂色鲍]:300.0g | 大蒜[蒜头](鲜):8.0g | 油面筋:30.0g | 盐水鸭(熟):15.0g | 生抽:30.0g | 料酒:30.0g | 老抽:30.0g | 糖（冰糖）:250.0g | 素鸡:25.0g | 细香葱[香葱，四季葱]:2.0g | 香菜[芫荽](鲜):2.0g | 洋葱[葱头](鲜):25.0g,6586.71,57.11,17.17,293.51,0.0,3.8,974.77,10450.94
虾泥,8,560.0,虾（海虾）:400.0g | 蛋（鸡蛋，均值):50.0g | 蘑菇(鲜蘑):50.0g | 乌菜[乌塌菜，塌棵菜]:2.0g | 红萝卜:1.0g | 生抽:25.0g | 盐水鸭(熟):2.0g | 玉米淀粉:30.0g,2172.35,77.15,7.44,35.14,0.0,1.93,628.43,2910.85
荞头,4,40.0,玉米笋(罐头):10.0g | 盐水鸭(熟):10.0g | 烧饼(加糖):10.0g | 凉粉:10.0g,278.2,2.59,2.87,7.93,0.0,0.0,7.6,179.37
蚝油香菇,10,44.0,猪肉(肥瘦)(均值):2.0g | 蘑菇(干):10.0g | 彩椒:10.0g | 彩椒:10.0g | 洋葱[葱头](鲜):2.0g | 盐水鸭(熟):2.0g | 料酒:2.0g | 老抽:2.0g | 油面筋:2.0g | 鸡精:2.0g,276.18,3.89,2.33,8.77,0.67,21.46,16.86,557.6
自制雪糕,2,150.0,全脂加糖奶粉:100.0g | 沙果:50.0g,2201.5,22.7,23.45,56.3,0.0,1.5,497.5,451.85
母亲节蛋糕,11,2633.0,藕粉:85.0g | 蛋（鸡蛋，均值):250.0g | 牛奶(草莓味，卡夫牌):45.0g | 油饼:45.0g | 芒果[抹猛果，望果]:100.0g | 火龙果[仙蜜果、红龙果]:50.0g | 奶糖:50.0g | 蛋黄（鸡蛋黄）:1250.0g | 草莓酱:250.0g | 乳品（奶油）:500.0g | 柠檬:8.0g,42834.16,236.18,875.35,380.21,1.0,28.76,1819.18,2771.78
趣多多,6,245.0,藕粉:90.0g | 可可粉:10.0g | 藕粉:60.0g | 小米:15.0g | 蛋（鸡蛋，均值):50.0g | 油饼:20.0g,3388.2,11.97,10.29,166.09,0.0,0.0,62.75,199.39
炒嫩牛肉,5,410.0,牛肉(肥瘦)(均值):300.0g | 红豆沙:50.0g | 洋葱[葱头](鲜):50.0g | 酱油(均值):5.0g | 玉米淀粉:5.0g,2273.85,62.84,12.76,43.8,0.0,4.0,94.7,556.12
大包子,2,220.0,牛奶糖:185.0g | 烧饼(加糖):35.0g,3845.35,6.87,15.9,185.12,0.0,0.0,138.1,26.87
酱黄豆,8,744.0,黄豆[大豆]:600.0g | 芹菜(白茎)[旱芹，药芹]:2.0g | 柠檬:30.0g | 豆角:2.0g | 黄米:10.0g | 奶片:30.0g | 虾皮:10.0g | 酱油(均值):60.0g,10794.82,221.79,102.86,239.06,0.0,8.7,1397.24,4029.28
香酥鱼排,5,106.0,油条:2.0g | 面包(均值):50.0g | 蛋（鸡蛋，均值):50.0g | 盐水鸭(熟):2.0g | 胡椒粉:2.0g,1049.58,11.46,7.87,33.31,0.0,0.0,52.86,223.9
玉米面菜团子,6,60.0,玉米面(白):10.0g | 黄豆[大豆]:10.0g | 萝卜缨(小萝卜):10.0g | 豆腐花[豆腐粉]:10.0g | 虾皮:10.0g | 木耳(干)[黑木耳，云耳]:10.0g,666.5,9.74,2.71,26.38,0.0,5.1,185.4,515.2
洋车前子壳粉,2,175.0,火龙果[仙蜜果、红龙果]:25.0g | 牛奶(草莓味，卡夫牌):150.0g,556.5,4.33,4.55,18.78,0.5,0.75,118.75,43.12
沙糖,5,121.0,豆沙:100.0g | 籼米粉[排米粉]:8.0g | 藕粉:3.0g | 糯米[江米](均值):5.0g | 柠檬:5.0g,1294.58,6.52,2.02,66.24,0.0,1.1,49.07,25.26
四川凉面,5,10.0,面条(均值):2.0g | 酱油(均值):2.0g | 酱鸭:2.0g | 醋栗[灯笼果]:2.0g | 芝麻油[香油]:2.0g,129.48,0.67,2.39,1.77,0.0,0.56,2.5,135.37
西饼,8,204.5,黄油:60.0g | 小麦粉(标准粉):25.0g | 鸡蛋白:12.5g | 藕粉:65.0g | 杏:10.0g | 小米:15.0g | 小麦粉(标准粉):15.0g | 小麦粉(标准粉):2.0g,4117.81,8.56,59.92,103.92,0.0,0.4,47.89,43.3
巧克力磅蛋糕,8,443.0,藕粉:80.0g | 可可粉:20.0g | 藕粉:3.0g | 黄油:100.0g | 小麦粉(标准粉):80.0g | 蛋清肠:100.0g | 巧克力:30.0g | 橙:30.0g,8391.42,28.74,135.77,172.12,0.0,9.9,146.54,1233.44
荠菜蛋饼,7,274.0,"荠菜[蓟菜，菱角菜](鲜):200.0g | 鸡蛋(白皮):2.0g | 葱(小葱,鲜):50.0g | 盐水鸭(熟):10.0g | 鸡精:5.0g | 香肠:5.0g | 油饼:2.0g",636.16,10.41,6.42,15.19,0.03,96.5,627.98,1296.17
